Name,Subject,Mark1,Mark2,Mark3,Total,Attendance_Pct
Diya K,Web Development,60.0,56,53.0,169.0,52.7
Diya A,Web Development,94.0,36,79.0,209.0,46.7
Arjun R,Data Science,89.0,28,96.0,213.0,55.9
Pooja M,Data Science,62.0,60,25.0,147.0,86.7
Kavya A,Machine Learning,68.0,60,44.0,172.0,56.8
Aditya K,Python,73.0,37,70.0,180.0,91.6
Neha S,Python,83.0,93,40.0,216.0,98.5
Rohan K,Statistics,62.0,71,98.0,231.0,83.8
Ananya A,Data Science,62.0,35,54.0,151.0,92.7
Rohan S,Machine Learning,71.0,45,72.0,188.0,64.5
Vishal A,Web Development,34.0,46,93.0,173.0,85.1
Kavya M,Machine Learning,59.0,96,53.0,208.0,82.7
Ananya R,Python,65.0,76,59.0,200.0,72.9
Sanjay A,DBMS,52.0,88,75.0,215.0,93.7
Kiran R,DBMS,62.0,56,96.0,214.0,74.6
Sanjay M,Statistics,76.0,71,53.0,200.0,99.9
Ishaan P,Machine Learning,36.0,31,39.0,106.0,100.0
Kavya A,Machine Learning,33.0,74,73.0,180.0,77.8
Kiran P,DBMS,95.0,26,60.0,181.0,82.5
Pooja S,Web Development,68.0,39,62.0,169.0,68.9
Kiran K,Web Development,58.0,89,47.0,194.0,72.9
Diya A,DBMS,89.0,50,44.0,183.0,65.6
Kavya P,Statistics,25.0,66,87.0,178.0,46.1
Priya S,Data Science,32.0,55,97.0,184.0,97.1
Arjun A,Machine Learning,33.0,93,41.0,167.0,52.1
Asha P,Data Science,58.0,92,79.0,229.0,98.0
Pooja A,Web Development,50.0,64,76.0,190.0,99.7
Priya M,Statistics,62.0,40,56.0,158.0,57.4
Aditya K,Statistics,95.0,54,53.0,202.0,45.4
Ananya R,Python,100.0,67,34.0,201.0,73.3
Vishal A,Machine Learning,52.0,94,41.0,187.0,84.8
Sanjay P,Machine Learning,56.0,85,77.0,218.0,50.2
Nisha S,Machine Learning,77.0,84,31.0,192.0,82.0
Diya K,Machine Learning,68.0,38,56.0,162.0,55.5
Pooja M,Data Science,79.0,48,60.0,187.0,70.4
Arjun M,Statistics,37.0,31,94.0,162.0,91.0
Arjun R,Data Science,77.0,87,86.0,250.0,56.8
Rohan K,Data Science,73.0,25,74.0,172.0,59.6
Kiran S,Machine Learning,96.0,87,44.0,227.0,55.4
Rahul K,Statistics,94.0,32,65.0,191.0,48.1
Sanjay M,Statistics,92.0,45,32.0,169.0,97.8
Arjun R,Python,33.0,55,76.0,164.0,51.6
Sanjay R,Statistics,30.0,35,78.0,143.0,81.2
Sanjay P,DBMS,58.0,51,65.0,174.0,58.1
Rohan R,Web Development,63.0,83,65.0,211.0,96.1
Arjun K,Machine Learning,62.0,37,34.0,133.0,74.6
Varun S,Data Science,69.0,33,56.0,158.0,65.3
Kavya M,Statistics,63.0,92,26.0,181.0,81.7
Pooja S,Web Development,38.0,42,58.0,138.0,51.3
Diya A,Statistics,44.0,59,61.0,164.0,72.9
Ananya K,Web Development,79.0,60,30.0,169.0,45.2
Ishaan A,DBMS,45.0,81,95.0,221.0,83.8
Pooja K,Python,34.0,44,94.0,172.0,47.0
Priya P,Statistics,43.0,80,41.0,164.0,47.3
Priya K,DBMS,51.0,56,60.0,167.0,64.5
Pooja M,Statistics,44.0,55,45.0,144.0,98.7
Kavya M,Python,47.0,67,77.0,191.0,89.1
Sneha S,Data Science,38.0,73,29.0,140.0,92.2
Sneha R,Machine Learning,69.0,64,54.0,187.0,57.3
Rahul M,DBMS,60.0,33,60.0,153.0,64.3
Varun M,Web Development,93.0,67,28.0,188.0,51.3
Vishal R,Statistics,58.0,29,38.0,125.0,77.8
Priya A,DBMS,80.0,90,39.0,209.0,66.2
Sanjay R,Python,30.0,80,25.0,135.0,73.6
Pooja A,Web Development,50.0,71,80.0,201.0,48.8
Aditya P,DBMS,40.0,63,89.0,192.0,62.0
Nisha S,Machine Learning,62.0,95,41.0,198.0,55.6
Rohan A,Web Development,47.0,97,63.0,207.0,75.1
Aarav S,DBMS,51.0,80,66.0,197.0,70.6
Kiran A,Data Science,90.0,85,46.0,221.0,81.2
Meera P,Web Development,67.0,36,55.0,158.0,82.0
Sneha R,Data Science,62.0,30,56.0,148.0,99.1
Neha K,Machine Learning,78.0,98,49.0,225.0,84.5
Rohan M,Machine Learning,56.0,43,25.0,124.0,94.1
Diya M,Data Science,47.0,91,84.0,222.0,47.8
Sneha K,Machine Learning,42.0,84,92.0,218.0,99.3
Neha S,Machine Learning,89.0,79,95.0,263.0,69.5
Kavya A,Machine Learning,82.0,58,56.0,196.0,91.2
Vishal P,Machine Learning,55.0,60,81.0,196.0,49.3
Meera R,DBMS,67.0,65,94.0,226.0,49.4
Ishaan R,Machine Learning,44.0,52,33.0,129.0,67.8
Aditya P,Machine Learning,78.0,32,51.0,161.0,90.8
Rohan P,Web Development,27.0,98,73.0,198.0,71.2
Priya S,Machine Learning,78.0,93,94.0,265.0,100.0
Sneha M,Data Science,59.0,80,87.0,226.0,46.6
Aditya A,Web Development,76.0,46,84.0,206.0,95.6
Neha P,Python,75.0,97,28.0,200.0,49.6
Rahul M,DBMS,68.0,73,60.0,201.0,86.4
Nisha S,Python,85.0,27,94.0,206.0,47.9
Priya R,Web Development,33.0,30,28.0,91.0,72.9
Rahul K,Statistics,44.0,55,41.0,140.0,71.0
Diya P,Data Science,84.0,57,72.0,213.0,54.2
Neha A,Web Development,39.0,45,64.0,148.0,50.9
Aarav S,Statistics,73.0,75,50.0,198.0,49.2
,Web Development,63.0,40,97.0,200.0,88.0
Priya P,Machine Learning,72.0,33,89.0,194.0,80.6
Aarav M,Machine Learning,38.0,80,71.0,189.0,80.0
Kiran A,Data Science,80.0,47,91.0,218.0,98.1
