Name,Status,Rank,At_risk
Priya S,Pass,1.0,No
Neha S,Pass,2.0,No
Arjun R,Pass,3.0,No
Rohan K,Pass,4.0,No
Asha P,Pass,5.0,No
Kiran S,Pass,6.0,No
Meera R,Pass,7.5,No
Sneha M,Pass,7.5,No
Neha K,Pass,9.0,No
Diya M,Pass,10.0,No
Kiran A,Pass,11.5,No
Ishaan A,Pass,11.5,No
Sanjay P,Pass,14.0,No
Sneha K,Pass,14.0,No
Kiran A,Pass,14.0,No
Neha S,Pass,16.0,No
Sanjay A,Pass,17.0,No
Kiran R,Pass,18.0,No
Arjun R,Fail,19.5,No
Diya P,Pass,19.5,No
Rohan R,Pass,21.0,No
Priya A,Pass,22.5,No
Diya A,Pass,22.5,No
Kavya M,Pass,24.0,No
Rohan A,Pass,25.0,No
Nisha S,Fail,26.5,No
Aditya A,Pass,26.5,No
Aditya K,Pass,28.0,No
Ananya R,Fail,30.0,No
Rahul M,Pass,30.0,No
Pooja A,Pass,30.0,No
Ananya R,Pass,33.5,No
Sanjay M,Pass,33.5,No
,Pass,33.5,No
Neha P,Fail,33.5,No
Nisha S,Pass,37.0,No
Rohan P,Fail,37.0,No
Aarav S,Pass,37.0,No
Aarav S,Pass,39.0,No
Kavya A,Pass,40.5,No
Vishal P,Pass,40.5,No
Priya P,Fail,42.5,No
Kiran K,Pass,42.5,No
Nisha S,Fail,44.5,No
Aditya P,Pass,44.5,No
Rahul K,Fail,46.5,No
Kavya M,Pass,46.5,No
Pooja A,Pass,48.0,No
Aarav M,Pass,49.0,No
Varun M,Fail,50.5,No
Rohan S,Pass,50.5,No
Sneha R,Pass,53.0,No
Vishal A,Pass,53.0,No
Pooja M,Pass,53.0,No
Priya S,Fail,55.0,No
Diya A,Pass,56.0,No
Kiran P,Fail,57.5,No
Kavya M,Fail,57.5,No
Aditya K,Pass,59.5,No
Kavya A,Fail,59.5,No
Kavya P,Fail,61.0,No
Sanjay P,Pass,62.0,No
Vishal A,Fail,63.0,No
Kavya A,Pass,65.0,No
Pooja K,Fail,65.0,No
Rohan K,Fail,65.0,No
Pooja S,Pass,68.5,No
Sanjay M,Fail,68.5,No
Ananya K,Fail,68.5,No
Diya K,Pass,68.5,No
Arjun A,Fail,71.5,No
Priya K,Pass,71.5,No
Arjun R,Fail,74.0,No
Priya P,Pass,74.0,No
Diya A,Pass,74.0,No
Diya K,Pass,76.5,No
Arjun M,Fail,76.5,No
Aditya P,Fail,78.0,No
Priya M,Pass,80.0,No
Varun S,Fail,80.0,No
Meera P,Pass,80.0,No
Rahul M,Fail,82.0,No
Ananya A,Fail,83.0,No
Neha A,Pass,84.5,Yes
Sneha R,Fail,84.5,No
Pooja M,Fail,86.0,No
Pooja M,Pass,87.0,No
Sanjay R,Fail,88.0,No
Rahul K,Pass,89.5,Yes
Sneha S,Fail,89.5,No
Pooja S,Pass,91.0,Yes
Sanjay R,Fail,92.0,Yes
Arjun K,Fail,93.0,Yes
Ishaan R,Fail,94.0,Yes
Vishal R,Fail,95.0,No
Rohan M,Fail,96.0,No
Ishaan P,Fail,97.0,No
Priya R,Fail,98.0,Yes
